board,from,to,results
rnbkqbnr/ppp1pppp/8/3p4/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,51,35,0.0
1kr1q2r/pbp3pp/1p6/2bnp3/5p2/2NP1P2/PPPB2PP/1KR1QB1R w - - 2 13,61,34,1.0
r4rk1/pp3ppp/n1n2qb1/2p1pQ2/2P5/P2P1NP1/1P3PBP/R1BR2K1 w - - 0 17,59,45,0.0
8/2p5/3n4/1k2b3/8/1P1K4/3B4/8 w - - 13 55,45,36,-1.0
1kr4r/1pqb2pp/p7/2p2n2/3p4/1P1N1P1P/P1PQ2P1/1K1R1BR1 w - - 4 23,36,50,1.0
6k1/R4pp1/p6p/1p2P1b1/6b1/8/PP4P1/5N1K w - - 0 41,58,30,1.0
2R5/8/4pk2/3p4/r3rp2/5Np1/1K1R2P1/8 w - - 12 61,0,24,1.0
4r3/k1pq1p1r/1pn1p1p1/pRPpP1Bp/P2P1Q1P/3P4/5PP1/R5K1 w - - 5 23,52,42,1.0
1r1r2k1/1p3bp1/pN2np1p/2R1p3/2BP4/1P2P3/P4PPP/R5K1 w - - 3 27,60,53,1.0
r1bqk2r/pp3pp1/2p1nb1p/3p4/3P4/2NBP3/PPQ1NPPP/2KR3R w kq - 2 12,61,44,1.0
3r1k2/4q2p/1p3n2/3b1pp1/r1P1p3/p1Q1P3/P3BPPP/1KR4R w - - 0 27,42,35,1.0
6k1/1q4rp/p2Q1p2/2pP1P2/4P3/5n2/1r5P/R5RK w - - 0 37,27,21,-1.0
2rqr1k1/pb1p1ppp/1pn1pn2/2b5/2P2B2/P1N1PN2/1PQ1BPPP/3RK2R w K - 3 12,56,58,0.0
rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,52,36,1.0
R3R3/1rk4p/6p1/5p2/8/8/1rK4P/8 w - - 10 49,17,9,1.0
r1bq1rk1/pppnppbp/3p1np1/8/2PP4/4PN2/PP2BPPP/RNBQ1RK1 w - - 2 7,57,51,1.0
1k1q4/2p2Q2/1pn5/4p1p1/3pP1P1/2PPnB2/1P6/1KN5 w - - 0 45,49,41,1.0
r2k3r/2p1q1pp/pn2bn2/1p1p1p2/3Pp3/1PN1P2P/P1P1NPP1/K1R1QB1R w KQ - 2 13,51,41,-1.0
r3r1k1/1b1n1pPp/p1q1p3/1pb5/P3NQ2/6P1/1PN2P1P/R1B1R1K1 w - - 5 21,41,42,1.0
r3k2r/1b2bppp/p3p3/4q3/pP1N4/P3B3/B3Q1PP/R2R2K1 w kq - 0 20,50,36,1.0
rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2,52,36,1.0
rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,51,35,1.0
2rqr1k1/1pp1bppp/p1n5/3p1b2/Q1PP1B2/P1P2N2/4BPPP/R3R1K1 w - - 0 16,48,40,0.0
rnbq1rk1/ppp1ppbp/5np1/3p2B1/3P4/4PN2/PPPN1PPP/R2QKB1R w KQ - 4 6,60,62,1.0
1r6/8/p7/6pp/P1k2b2/2B4P/K5P1/4R3 w - - 0 40,35,26,1.0
4r3/pp4k1/2p4p/3p4/3P1PPR/6r1/PP6/K1R5 w - - 3 32,57,60,0.0
2k5/2p4p/3p2p1/1bq5/1p2P2P/1P1Q2P1/r1PK4/3NR3 w - - 1 41,42,33,1.0
6R1/1k1r4/p1p5/2PPbp2/N5p1/4Pn2/P1K5/2B5 w - - 1 38,43,36,1.0
r1k2b1r/3n1P2/4N2p/3q4/2p5/3P2P1/p4Q1P/R3R1K1 w - - 0 28,33,26,0.0
8/6r1/3k3p/4R3/1P1p1P2/2p3P1/2P1K3/8 w - - 1 47,55,54,-1.0
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,62,45,-1.0
5r2/5P2/1p6/1R6/p7/3P2P1/k2K4/8 w - - 2 61,17,8,0.0
4k3/1pb5/p3n1p1/3p1pP1/3P1P2/1P1NK3/P7/2B5 w - - 17 48,53,60,-1.0
r1bq1r1k/pp5p/n2p1n2/2pP1p2/2P1pP2/P1P1B1PN/4B1KP/R2QR3 w - - 3 21,62,63,0.0
4k2r/ppr1qpp1/1np1p1p1/6P1/2PP3P/P3PR2/1P3Q2/2K2BR1 w k - 1 27,35,41,1.0
3r4/4k3/2p2p1p/1p2p1pP/p3Pb2/P1P1RP2/BPK1Q3/7r w - - 2 52,3,7,0.0
r7/2p5/2k4p/2Pp2p1/2bPp1pP/p3P1P1/P4P2/K1R1B3 w - - 0 44,54,38,1.0
1kr5/bp1r2p1/q2n1pNp/n3pP1N/bBppP3/P2P1Q2/2P3PP/RR1B1K2 w - - 0 29,42,32,1.0
rn1k1bnr/ppp2qpp/8/5b2/4pP2/2N5/PPP1P2P/R1BKQBNR w KQkq - 0 7,35,28,1.0
3r1r1k/ppR3bp/2bP4/q1B1p3/2Q5/2N5/P1R3PP/6K1 w - - 7 27,16,32,0.0
r3n1k1/q4rpp/2p1bp2/p1b1p3/PpN1P3/4B1Q1/1PP1BPPP/3R1RK1 w - - 4 20,61,53,1.0
8/8/5r2/3P1p1R/1NK1k1pP/4P1P1/5P2/8 w - - 1 59,43,45,1.0
1kr1r3/ppp2qpp/5n2/4pb2/8/PPQP1P2/1BP4P/1KR2B1R w - - 1 15,63,60,-1.0
8/p1kb3R/2p1pB2/1p4p1/1P1P1nr1/PB6/2P5/3K4 w - - 0 42,14,30,0.0
1k1rq2r/2p2npp/1p6/p1b1pPP1/3nP2P/PP1P2QB/1B1N4/R2K3R w kq - 1 22,42,27,1.0
1kr1q1nr/2p3pp/p1n2p2/1pb1p3/2B1P1b1/NPP2N2/PB1P2PP/1KR1Q2R w - - 0 11,49,33,-1.0
rnbk3r/pp3ppp/2p2n2/2bp4/5N2/1PN5/P1PPP1PP/R1BK1B1R w KQkq - 0 8,51,35,1.0
1kr1qr2/pbp1n1pp/1pn1p3/4Pp2/2P5/P2PBN2/2P3PP/R2KQB1R w kq - 1 12,63,61,1.0
rn2nrk1/pp2q2p/2p1Pppb/4p3/2P5/2N5/PP2QPPP/R1B2RK1 w - - 0 17,54,47,-1.0
k2K4/8/2P1Q3/8/7q/8/8/8 w - - 83 110,55,31,-1.0
5r2/2pn1k2/1p1p1r1p/p1n1pNpP/P1P1P1P1/K3BP2/2P5/1R3R2 w - - 16 32,60,61,0.0
1k1rqb1r/pppb2pp/2n2n2/3p1p2/4p2P/1PN1P1P1/PBPP1PB1/1KR1Q1NR w - - 1 9,58,59,1.0
1kr1q2r/1pp5/1pnp3p/3b1np1/8/3P1NPP/PPPB2B1/1KR1Q2R w - - 0 17,52,37,0.0
k1r2r2/1p4pp/p3q3/2p1P1P1/2R4P/2Q1P3/1B6/K7 w - - 3 38,60,61,1.0
6r1/1kpb2np/3p2p1/1p1P4/1N1B1pP1/1P3P2/2P1r2P/1K1R3R w - - 1 30,39,54,-1.0
5R2/1p1r3k/7p/5ppn/2nB4/2P2P1N/2P3P1/6K1 w - - 0 35,46,38,1.0
4b3/5pk1/1R3N1p/p1P1rBp1/8/1P3P1P/P4nPK/8 w - - 1 33,4,36,1.0
2r1q1k1/p3P3/1p2R1p1/5p2/7Q/5PP1/Pp4BP/6K1 w - - 0 36,17,9,-1.0
2r3k1/4bpp1/p3b2p/1p1np3/6PP/P1P1RP2/1BP5/1K3B1R w - - 8 24,29,35,0.0
r1br2k1/1p3ppp/3Pnb2/pPpq4/P3BB2/5N1P/2Q1RPP1/6K1 w - - 0 25,39,35,0.0
rnbqkb1r/ppp1pppp/8/3p4/3PnB2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 4,51,35,-1.0
8/8/8/5K2/8/3nkr2/5p2/R7 w - - 4 80,22,21,-1.0
2k3r1/pppb2p1/8/3P2B1/2P1p1r1/4P3/PP6/1KR3R1 w - - 3 27,57,58,-1.0
3rr1k1/p2qppb1/1p4pp/2pPBb2/2P5/5B2/PP3PPP/2QRR1K1 w - - 3 23,61,60,0.0
rnbknb1r/p1pq1ppp/1p2p3/3pP3/3P1P2/8/PPP3PP/RNBKQBNR w KQkq - 0 6,52,44,1.0
1kr2br1/pb1q3p/1pp2n2/3p1pp1/3Pp3/1PN1P3/PBP1BPPP/K1R1Q2R w - - 0 13,54,38,0.0
r1b2rk1/p3qp2/1p1p3p/2pPb1p1/6P1/P1NQP3/1P2BPP1/R4RK1 w - - 3 20,49,58,-1.0
1k1rqb1r/ppp2ppp/2n2n2/3ppb2/3P4/2N1P3/PPPBNPPP/1KR1QB1R w - - 7 7,58,59,0.0
3r2k1/ppqrbppp/2p3b1/4p3/2PnB3/2QPB1NP/PP1R1PP1/4R1K1 w - - 19 23,44,27,0.0
3rr1k1/1ppq1pp1/p1n2n1p/3bp3/8/2PPRNNP/PPB2PP1/R2Q2K1 w - - 1 17,56,59,1.0
1kr1q2r/pppn1pp1/3bbn1p/4p1B1/2B1P3/5N2/PPPNQPPP/R2K3R w kq - 0 9,55,47,0.0
1k3r2/ppp1n3/1b4p1/4P2p/4PPp1/PqN1p1Q1/1P1r3P/K1RNR3 w - - 1 33,59,11,1.0
1k3r2/1pp1nr1p/p2p4/6PP/4P3/P1N4Q/1PP2q2/1K3R2 w - - 0 26,45,13,-1.0
8/3pk2p/1Rb5/2P2p2/8/3N2P1/r2K3P/8 w - - 1 46,16,8,0.0
1k2rbnr/pbpp2pp/1p2q3/8/3nN1P1/3P3B/PPP2P1P/R1BKQ1NR w kq - 2 9,58,60,1.0
r4rk1/p3qppp/np2pn2/2pp4/3P4/1P2P3/PBP2PPP/RN1Q1RK1 w - - 0 12,51,52,0.0
2rr2k1/pb1qbppp/1p2p3/3PB3/2P5/P2R1N2/5PPP/3QR1K1 w - - 3 22,43,51,1.0
4r3/1bq3kp/p3pbp1/1p2np2/5N2/3B3Q/PPP3PP/4RR1K w - - 6 24,63,54,0.0
1kbr1b1r/p1p2qp1/1pn1pp2/7p/3pPPnP/1P1P1NPB/PBPNQ3/1K2RR2 w - - 0 16,35,27,1.0
1kr3nr/ppp2pp1/8/3p1b1p/1b1P4/1P3P2/1PP1N1PP/RN1K1B1R w kq - 0 11,55,39,1.0
8/3b3p/1ppkn1p1/p2p1pP1/P2P1N1P/1PP1KP2/4B3/8 w - - 11 41,59,44,0.0
r1bkq1nr/ppp3pp/1bnp1p2/4p3/4PP2/2NPB3/PPP3PP/R2KQBNR w KQkq - 0 6,53,45,-1.0
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,62,45,-1.0
2r4k/3q1pp1/p3n2p/P2pPN2/8/7P/3Q1PP1/R5K1 w - - 0 34,61,58,0.0
1kbb4/4n3/pp1p1q2/3Pp2p/1P2P1pN/P2BQ1P1/7P/1KB5 w - - 2 39,51,58,1.0
5rk1/p4pb1/1p2r1p1/2p5/q3b2Q/2P2P2/PP2R1PP/R1B3K1 w - - 0 27,49,28,0.0
r2kqbnr/pbp2ppp/1pn1p3/3p4/5P2/1P1PP3/P1P3PP/RNBKQBNR w KQkq - 1 5,58,49,1.0
1r2rk2/2p4p/3b4/Q1p5/N2pq1p1/1P4P1/P1P2P1P/1KB4R w - - 5 27,44,28,1.0
1kr1q1nr/1pp3p1/p1nb2b1/3pp3/6Pp/2N1PN1P/PPP2P1B/1KR1QBR1 w - - 0 13,45,36,1.0
3rr3/1pkb2pp/2p2p2/p3p3/P2P4/1BP1RP2/2PK2PP/R7 w - - 3 20,56,59,0.0
rn1q1rk1/pppbppbp/5np1/3P4/2BP4/2N5/PPP2PPP/R1BQK1NR w KQ - 5 7,60,62,1.0
8/1p4p1/5p1k/1PpP3p/3q3P/2r2QP1/4R2K/8 w - - 10 57,26,18,0.0
rn1qkbnr/pp2pppp/2p3b1/8/3P4/6N1/PPP2PPP/R1BQKBNR w KQkq - 3 6,37,46,-1.0
r1bqkb1r/pp3ppp/2npp3/4P3/3P4/2P2N2/P4PPP/R1BQKB1R w KQkq - 1 9,57,42,0.0
1kr1qrb1/1p5p/p5p1/2pp1p1n/1n3P2/1P3N2/PBPPB1P1/1KR1Q2R w - - 0 17,45,39,-1.0
q1r3k1/r3ppb1/bp1p2pp/p1nP4/P1P2B2/1Q2PP1P/2N1B1P1/2RR2K1 w - - 4 23,51,34,1.0
r2qkb1r/3n1pp1/p2p4/3Ppb1p/Pp6/6PP/1PP1NPB1/R1BQ1RK1 w kq - 0 14,33,25,-1.0
1kr4r/1p1nqpp1/p1pb4/3p3p/3P4/3NPNP1/PPQ2PP1/1KR4R w - - 2 23,59,58,0.0
1knrq2r/pppb2bp/2npp1p1/1B3p2/3PP3/2N1BP2/PPPQN1PP/1KR4R w - - 5 11,52,58,0.0
rn3rk1/4bppp/1q2p3/1np5/p1Q1PB2/P4NP1/1P3PBP/R3R1K1 w - - 1 17,59,41,0.0
8/8/8/3B4/p1p2pk1/P1P5/1n2K3/8 w - - 2 65,22,30,0.0
5rk1/4ppbp/1q1p1n2/1P1n1BB1/1pp5/5N2/1P3PPP/Q3R1K1 w - - 2 21,59,41,0.0
2b2nrk/1pb2qr1/2p4p/PpNp1p2/1P1PpP2/2P1B1PP/4Q1R1/5NRK w - - 10 42,55,63,-1.0
8/5p1k/2p3q1/p7/6rp/1PQ5/P1P5/1K3R2 w - - 6 43,54,55,0.0
4r3/p1p4p/1k3p2/1p2n3/3N1B2/PP4P1/2P2K2/8 w - - 6 30,49,41,1.0
8/8/3k3p/pB1b2p1/P2P3P/4K1P1/8/8 w - - 36 102,42,35,0.0
6k1/1p4pp/p7/8/b2B4/3P4/3K2PP/8 w - - 0 28,48,40,0.0
rnbq1rk1/ppppppbp/5np1/8/8/5NP1/PPPPPPBP/RNBQ1RK1 w - - 4 5,60,62,0.0
2kr3r/1b1n1ppp/pqn1p3/1pbpP3/5N2/2PBBN2/PP3PPP/R2QR1K1 w - - 0 14,52,34,0.0
rnbqkb1r/pp1ppppp/5n2/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 0 3,50,34,1.0
r4rk1/3bnpb1/1qnp2pp/ppp1p3/4P3/P1PP1NP1/1PQB1PBP/R3RNK1 w - - 0 15,55,47,1.0
8/8/1q6/4kp1p/3R3P/6P1/4NK2/8 w - - 36 85,1,41,1.0
8/4kp2/2q1p1p1/pn1pP2p/1p1P3P/1P1NKP2/P2Q2P1/8 w - - 1 37,50,33,1.0
1kr1r3/pbp3pp/1p1p1n2/4P2q/3P1p2/2BB1P2/PPP1Q2P/1KR2R2 w - - 0 15,51,43,1.0
r6r/4kp2/p1bp1p1b/4pP1N/1p2P2P/3Bq3/PPP1Q1P1/1K1R3R w - - 1 20,34,20,1.0
rnbkqb1r/pppp2pp/5n2/8/4pP2/2N5/PPP1P1PP/R1BKQBNR w KQkq - 0 5,37,28,1.0
1k2rr2/pbpp2pp/np4q1/8/1PPN1n2/P1BP1P2/6PP/1KRQ1B1R w - - 5 18,39,29,-1.0
2br1br1/5k2/p6q/3p1p2/1P1P1N2/3BPQ1P/3B4/1KR5 w - - 0 34,42,35,-1.0
r2r1nk1/3n1ppp/2p5/2b1pPPP/2q1P3/p1P2N2/1P4BK/R1B1QR2 w - - 0 25,24,16,1.0
8/pp2r3/7p/4kpb1/3p4/1P1PnRP1/P6P/1KB2B2 w - - 0 30,60,52,-1.0
8/8/2k2Bp1/6pp/p2PK3/Pb5P/1P4P1/8 w - - 1 44,33,42,0.0
4r1k1/6pp/1p1RN3/4bp2/8/4P1P1/r3P1KP/1R6 w - - 3 25,9,36,0.0
r1bkq2r/ppp2ppp/2n2n2/4p3/1b1pPP2/3P4/PPP1N1PP/R1BKQBNR w KQkq - 1 6,61,25,-1.0
r1bb1k1r/p3qpp1/2p1p1n1/3pP1Np/1P6/P5Q1/1BP2PPP/R3KB1R w KQ - 8 18,41,59,0.0
8/8/6p1/pp5p/3b4/3N2kP/PP4P1/5K2 w - - 0 52,40,32,1.0
r1bq1r1k/1pp3bp/2np4/3nppp1/1PP5/3PP1P1/4NPBP/1RBQ1RK1 w - - 0 14,45,35,1.0
1kr4r/p3bppp/2q3n1/1p2p3/2ppP3/3P1P2/PPPBN1PP/R2KQ2R w kq - 0 15,34,26,1.0
8/kp4R1/4B3/1pKp2p1/1P3p2/2r5/7P/8 w - - 4 42,17,18,-1.0
2bk1r2/1n1r1p2/2p3p1/1p3P1p/3R2N1/1B6/2P4P/1K2R3 w - - 4 34,60,59,-1.0
3r4/1p4kp/p1nqpnp1/3p4/2P5/5N1P/PP1Q1PP1/3R1BK1 w - - 4 27,60,59,0.0
rnbkqbnr/pppp2pp/8/8/4pP2/2N4p/PPPPP3/R1BKQBNR w KQkq - 0 5,30,23,0.0
5rk1/p4p2/1p4p1/3Q4/1P6/3R4/5PPP/1q1K4 w - - 2 34,8,1,0.0
1rb2rk1/1pb2p2/p2q3p/3p2p1/3Nn3/1N4P1/PPP1BP1P/R2Q1RK1 w - - 1 16,59,43,1.0
rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,51,35,-1.0
r7/8/1R6/8/8/4p3/2p1K3/2k5 w - - 2 69,60,56,1.0
r2q1rk1/pp2pp1p/2np2pb/5b2/3P1n2/2P2N1P/PP1NBPPB/R2QR1K1 w - - 7 13,58,37,1.0
1k6/2pp4/1p2r3/p5p1/4p3/1PP1PqP1/P2Pb1N1/2K1Q1R1 w - - 0 32,48,32,1.0
4r1k1/ppp2pp1/3r1n1p/4p3/2P1P1P1/q1PP4/P1R1Q1BP/R5K1 w - - 3 21,59,43,0.0
1k6/pbpp4/1pn3nr/4pp2/8/2NPPNP1/PPP3B1/1K3R2 w - - 0 18,63,47,0.0
8/p5p1/1p1k1p2/8/2Q2Pq1/P7/8/K7 w - - 6 53,50,43,1.0
1kr4r/pp1b2pp/3N1b2/q7/PnB2P2/1P2Q3/2P1N1PP/1K5R w - - 2 23,19,25,1.0
r1bkq2r/pppp2pp/2n2n2/4ppB1/4P3/P1bP4/1PP2PPP/R2KQBNR w KQkq - 0 6,25,18,1.0
1k1r3r/ppp1b1pp/5p2/4p3/4P3/2P1BP2/PP4PP/1K1R3R w - - 1 19,25,52,0.0
r5k1/5rp1/p7/3qn2P/1p6/1P2B3/P1P5/2KRR3 w - - 0 32,33,35,1.0
1k1rqb1r/1pp2b2/pnn2p1p/3p1Pp1/3Pp1PP/PPN1P3/1BPQB1N1/1KR4R w - - 0 17,55,47,1.0
2kr3r/ppq1pp2/2p1bbp1/5p2/1B1P1P1P/P5P1/1PP1Q1B1/2KRR3 w - - 5 22,43,50,1.0
2r2k2/3b1pp1/pp1q1n1p/3p4/1P3N2/4P2P/P2Q1PP1/1BR3K1 w - - 3 25,60,58,0.0
1k6/1bp2r2/1n1pq1p1/1P2p2p/1P5P/K3QP2/3RB1P1/3R4 w - - 5 34,37,44,-1.0
r4rk1/pp2p1bp/2npp1p1/8/1q1Pn3/1N2B2P/P3BPP1/1R1Q1RK1 w - - 4 16,18,25,-1.0
r1bqkb1r/pp2pppp/2np1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 1 6,62,45,0.0
r2k1b1r/pppb2pp/5n2/3pnq2/3Pp3/1PN5/PBP2PPP/1KR1QB1R w KQ - 0 10,42,36,0.0
2b2r2/p1p1b2k/1p4pp/2n1p3/4P3/2P3N1/PPB2PPK/2BR4 w - - 1 26,45,52,0.0
rnbqkb1r/pp1ppppp/5n2/2p3B1/3P4/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,50,34,1.0
2kr2r1/Qp1b1p2/p1p2n2/P3q1p1/2B5/1NN5/1PP3P1/2KR4 w - - 0 24,50,42,0.0
r1k3r1/2pb1qpp/1bp5/1p3PPN/4p3/1P4Q1/PB2B2P/1K1n1R2 w - - 0 23,20,3,1.0
8/p1p3k1/P1Np4/1P1Pp2P/4P3/4K3/8/r7 w - - 1 42,62,54,1.0
3r1rk1/pb1q1pb1/1pn1p1pp/2ppn3/2P1P3/1P1P3N/PB1QNPPP/3RRBK1 w - - 0 17,43,35,-1.0
r5k1/2p2pbp/4q1p1/1pn1p3/4Pn2/2P1NQ1P/1PB2PPK/2BR4 w - - 10 23,42,44,1.0
2rqr1k1/1bpn2bp/1p3pp1/p2p4/P2PnP2/BP1NPB2/4N1PP/R2Q1RK1 w - - 0 18,44,35,1.0
r2qk2r/pp2bp2/2n1p1p1/3pPn1p/8/2PB4/PP1NQPPP/R1B2RK1 w kq - 0 13,55,39,1.0
r3k2r/1p2qppp/p1b2n2/2pp1B2/8/2P1PNP1/PPQ2PP1/R3K2R w KQkq - 6 16,51,42,0.0
3r1bk1/1Bp2p2/5n1p/ppq5/8/1PPp1Q1P/Pn1B1PP1/4R1K1 w - - 0 30,54,47,1.0
3r4/3P1pk1/6p1/2pQ4/1qP5/5PPp/P2R1K1P/8 w - - 7 42,55,54,1.0
5k2/2b2p1p/R3p1p1/1p6/2r5/2P4P/1P4P1/5RK1 w - - 0 27,62,61,1.0
r1bkqbr1/1pp1p2p/2n2p2/8/p7/1P3N2/PBPP2PP/R2KQB1R w Kkq - 2 10,63,62,-1.0
2b1k3/p3p3/1ppq3p/2p3pN/P3QPP1/1P1P2KP/2P5/8 w - - 1 48,53,60,1.0
rnbkqbnr/pppp1ppp/8/4p3/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,52,36,-1.0
r1bqkb1r/pp3ppp/2n1pn2/2p5/P1BP4/2N1PN2/1P3PPP/R1BQK2R w KQkq - 1 8,57,42,1.0
rnbkqbnr/pppp2pp/8/4pp2/4P3/8/PPPP1PPP/RNBKQBNR w KQkq - 0 2,53,37,1.0
r4rk1/pq2ppbp/n2p1np1/8/Np1P4/1P2N1PP/PB2PP2/R2Q1RK1 w - - 4 16,57,40,-1.0
4qr2/5p1k/p4Qp1/1p5p/7P/1B4P1/P4P1K/8 w - - 4 36,4,60,-1.0
1kr3r1/p2q1npp/2p5/N1P1bb2/3Bp3/4P2p/PP6/1KR1QB1R w - - 1 21,43,36,0.0
2k5/1pp4p/p1r3p1/5p2/2P1p3/2Pn1P2/P2R2PP/1R4K1 w - - 1 28,44,42,1.0
1kr5/p4p2/q4p1p/2r1n3/1p1N2P1/1p2P1QP/P1P2R2/1K3R2 w - - 0 31,26,17,-1.0
2k5/p7/5B1p/8/PP6/1B6/1KP5/5r2 w - - 1 44,7,5,-1.0
r1bkqb1r/ppp3pp/2n2n2/5p2/8/1PN1p3/PBPPP1PP/R2KQBNR w KQkq - 0 8,28,20,1.0
2b5/k7/pp6/3n4/2q3p1/3N2B1/1P1Q1PP1/1K6 w - - 0 32,33,26,0.0
rnb1k2r/pp3ppp/4pn2/q1P5/4P3/P1P2P2/6PP/R1BQKBNR w KQkq - 1 10,35,45,1.0
rn1q1rk1/pbp1bppp/1p2pn2/3p4/3P1B2/3BPN1P/PPPN1PP1/R2QK2R w KQ - 2 8,58,49,0.0
5b1r/Np3ppp/pk2pn2/8/2B1bB2/8/PPP2PPP/3R2K1 w - - 12 25,42,41,0.0
r1bq1rk1/1pp1bppp/p1np1n2/4p3/B3P3/2PP1N2/PP3PPP/RNBQ1RK1 w - - 1 8,60,62,1.0
1k1rqr1R/1pp1b3/pn4p1/1n1p4/4pPP1/1P2P1Q1/P1P1N1B1/BK1R4 w - - 10 30,53,61,1.0
1krr4/2p2p2/1p2qp1p/1b2p3/p1NnPP2/P1QP2P1/1P5P/1KRB1R2 w - - 8 21,63,59,1.0
8/pp2krpp/2p5/3pn2b/8/P1N1P2P/1PP3P1/1K3B1R w - - 1 23,30,39,1.0
rnbkqbnr/pppp2pp/8/4pp2/8/2N5/PPPPPPPP/R1BKQBNR w KQkq - 0 2,53,37,1.0
r1bkqbnr/ppp2ppp/8/3pn3/8/3P4/PPP1P1PP/RNBKQBNR w KQkq - 0 4,42,36,0.0
r1bkqb1r/pppp2pp/2n2n2/4pp2/4P3/3P1P2/PPP3PP/RNBKQBNR w KQkq - 1 4,57,42,0.0
r1bkqbnr/ppp1pppp/2n5/3p4/3P4/8/PPP1PPPP/RNBKQBNR w KQkq - 1 2,57,42,0.0
2rb1k1r/1p3p2/4p1p1/p2bP2p/P2p1P1P/1q1B2Q1/1P1BR1PK/5R2 w - - 5 32,62,63,-1.0
r1r3k1/5pp1/4p2p/p3P3/R1pPq3/2Q5/5PPP/2R3K1 w - - 0 29,40,32,-1.0
rnbkqbnr/pppp1ppp/8/4p3/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,52,36,0.0
1kr1qbnr/ppp1pppp/2n5/3p3b/3P4/2N2N1P/PPP1PPP1/R1BKQB1R w kq - 3 5,59,57,-1.0
1kr1r3/1pp4R/p1q2pQ1/2b5/4bB2/3B4/PPP4P/1KR5 w - - 5 26,14,28,0.0
r2k3r/1ppb1ppp/8/4q3/p3PN2/3P2P1/PPPQ2B1/1KR5 w KQ - 0 18,52,36,1.0
1k6/p2B4/1p6/8/1P1K1nP1/P6R/b7/8 w - - 1 47,14,29,-1.0
2br1rk1/p1q1ppbp/1p4pB/n2P4/2p1P2P/2P2P2/P1BQN1P1/2R2RK1 w - - 2 19,44,58,1.0
rnbkqbnr/pppp1ppp/8/4p3/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,52,36,0.0
R7/1p1k1pp1/1bp5/p3p3/P1B1P3/2P2P2/KP3r2/8 w - - 0 38,50,51,1.0
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,50,34,1.0
5R2/1p5k/8/8/3N1N2/B4Pp1/KP3q1P/3n4 w - - 5 54,62,55,-1.0
r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P4/2PB4/PP1N1PPP/R1BQK1NR w KQkq - 1 7,57,42,0.0
6R1/kp1r4/5b2/1PpBp1p1/p1P1P3/P7/1K6/8 w - - 11 50,59,45,0.0
2Q5/pp2rk1p/6pP/2P2p2/4b3/8/PK6/5r2 w - - 7 54,44,53,1.0
3k4/6R1/1p1b1r2/5B2/1P6/2p1P3/K1Pn4/2B5 w - - 5 45,44,45,-1.0
7r/8/8/8/1k6/n5K1/5R2/8 w - - 2 69,31,63,0.0
r1b1k2r/p1q1n3/2p2b2/Npp1p2p/1PP1Ppp1/P2P3P/1B3PPN/R2Q1RK1 w kq - 0 18,38,30,1.0
5r2/pkp3bp/1p4p1/3p1n2/4N3/3P2P1/PPPB3P/1KR5 w - - 0 20,43,35,1.0
3r1rk1/pp3ppp/q1n2n2/3p1b2/8/1Q2PNP1/PP1N1PBP/R4RK1 w - - 1 15,56,59,-1.0
8/pk5p/8/K2P4/2PB2b1/3n2P1/P7/8 w - - 3 43,51,30,1.0
8/8/p2k4/P4RP1/1P6/6r1/1K6/8 w - - 3 52,42,43,-1.0
8/kp4p1/1n2Br2/p1p4p/b2p1r1P/P2P1N2/1PP1R1P1/4R1K1 w - - 11 30,61,45,0.0
2r2rk1/5ppp/p2b4/1ppP2PP/4R3/1P1BQ3/1qP2PK1/7R w - - 1 25,56,58,1.0
1kr5/pppb4/3p1rnp/4p1p1/2N1Pn2/P2P1N2/1PP3PP/1K1BR1R1 w - - 4 21,61,45,0.0
3k4/4npp1/pp2p3/3pP1BP/1K1P4/3b4/PP3P2/3B4 w - - 2 32,28,19,1.0
r1b1k2r/1pqnbppp/p2ppn2/8/2PQP3/2N2N2/PP2BPPP/R1BR2K1 w kq - 2 10,59,50,0.0
2r2rk1/pp1nppbp/1qbp2p1/8/4PP2/2NP2PP/PP2Q1BK/2B1RR2 w - - 3 17,56,58,0.0
